Nazwa,Cena,Białko,Tłuszcz,Popiół,Włókno,Wilgotność,Wapń,Fosfor,Węglowodany,Energia,Skład,Opis,species,food_type
Royal Canin Digestive Care Sucha Karma dla kota op. 400g,29.00,38.0%,15.0%,8.2%,3.3%,,,,,3899 kcal/kg,"Gluten pszenny, suszone białko drobiowe, mąka pszenna, ryż, tłuszcz zwierzęcy, gluten kukurydziany, suszone ryby, hydrolizat białka zwierzęcego, mączka kukurydziana, włókno roślinne, sole mineralne, pulpa z cykorii, olej sojowy, olej rybny, psyllium (łuski i nasiona 0,5%), fruktooligosacharydy 0,47%, hydrolizat drożdżowy (źródło mannooligosacharydów)","Karma przeznaczona dla kotów łakomych wspierająca prawidłowe trawienie. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Wrażliwy przewód pokarmowy może prowadzić do zaburzeń procesu trawienia, a w konsekwencji zwiększenia ilości odchodów i pogorszenia konsystencji kału. Zbyt łapczywe jedzenie może dodatkowo prowadzić do wymiotów. Doskonale zbilansowana receptura karmy DIGESTIVE CARE wspomaga prawidłowe trawienie. Royal Canin Digestive Care to karma sucha oparta na białku drobiowym, przeznaczona dla kotów dorosłych z wrażliwym przewodem pokarmowym i/lub kotów łakomych. Karma zawierawysokstrawne białka (L.I.P.) i jest oparta na unikalnej kompozycji prebiotyków (FOS: fruktooligosacharydy) i włókna (w tym psyllium), co oznacza, że wpływa korzystnie na florę jelitową i pasaż treści jelitowej. Dzięki odpowiedniej koncentracji soli mineralnych, formuła wspomaga prawidłowe funkcjonowanie układu moczowego. Krokiety w kształcie pierścienia zachęcają kota do wolniejszego jedzenia i dokładniejszego żucia, co wpływa na lepsze trawienie.",cat,dry
Royal Canin Digestive Care Sucha Karma dla kota op. 4kg,199.00,38.0%,15.0%,8.2%,3.3%,,,,,3899 kcal/kg,"Gluten pszenny, suszone białko drobiowe, mąka pszenna, ryż, tłuszcz zwierzęcy, gluten kukurydziany, suszone ryby, hydrolizat białka zwierzęcego, mączka kukurydziana, włókno roślinne, sole mineralne, pulpa z cykorii, olej sojowy, olej rybny, psyllium (łuski i nasiona 0,5%), fruktooligosacharydy 0,47%, hydrolizat drożdżowy (źródło mannooligosacharydów)","Karma przeznaczona dla kotów łakomych wspierająca prawidłowe trawienie. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Wrażliwy przewód pokarmowy może prowadzić do zaburzeń procesu trawienia, a w konsekwencji zwiększenia ilości odchodów i pogorszenia konsystencji kału. Zbyt łapczywe jedzenie może dodatkowo prowadzić do wymiotów. Doskonale zbilansowana receptura karmy DIGESTIVE CARE wspomaga prawidłowe trawienie. Royal Canin Digestive Care to karma sucha oparta na białku drobiowym, przeznaczona dla kotów dorosłych z wrażliwym przewodem pokarmowym i/lub kotów łakomych. Karma zawierawysokstrawne białka (L.I.P.) i jest oparta na unikalnej kompozycji prebiotyków (FOS: fruktooligosacharydy) i włókna (w tym psyllium), co oznacza, że wpływa korzystnie na florę jelitową i pasaż treści jelitowej. Dzięki odpowiedniej koncentracji soli mineralnych, formuła wspomaga prawidłowe funkcjonowanie układu moczowego. Krokiety w kształcie pierścienia zachęcają kota do wolniejszego jedzenia i dokładniejszego żucia, co wpływa na lepsze trawienie.",cat,dry
Royal Canin Expert Calm Sucha Karma dla kota op. 2kg,139.00,36.0%,11.0%,7.9%,4.0%,,,,,,"Suszone białko drobiowe, kukurydza, ryż, gluten pszenny paszowy*, gluten paszowy kukurydziany, hydrolizowane białka zwierzęce, lignoceluloza, tłuszcz zwierzęcy, suszone wysłodki buraczane, składniki mineralne, olej rybi, psyllium (łuski i nasiona, 0,5%), olej sojowy, fruktooligosacharydy, olej z ogórecznika lekarskiego, hydrolizowane białko mleka**, mączka z kwiatu aksamitki (źródło luteiny), l-tryptofan (0,38%). | Dodatki: Witamina A: 24900 UI, Witamina D3: 800 UI, E1 (Żelazo): 40 mg, E2 (Jod): 2,8 mg, E4 (Miedź): 8 mg, E5 (Mangan): 54 mg, E6 (Cynk): 202 mg, E8 (Selen): 0,1 mg, Tryptofan: 3,6 g - Konserwanty - Przeciwutleniacze.","Karma dla kotów narażonych na sytuacje stresowe.Serotonina nie bez powodu nazywana jest hormonem szczęścia. Wpływa ona na stan kondycji psychicznej poprzez regulację czynności w ośrodkowym układzie nerwowym.Dieta Royal Canin Calm to pełnoporcjowa karma dedykowana dla kotów zalecana do stosowania w terapii stresu. Bioaktywny peptyd alfa-kazozepina oraz L-tryptofan (naturalny prekursor serotoniny - neurotransmitera) pomagają utrzymać równowagę emocjonalną. W diecie Calm został zastosowany opatentowany kompleks składników wzmacniających barierę skórną, a także różne rodzaje włókna usprawniające pasaż jelitowy i ułatwiające usuwanie kul włosowych wraz z kałem. Karma zawiera również składniki korzystnie wpływające na pracę przewodu pokarmowego, a co za tym idzie - prawidłowe trawienie.WskazaniaKoty narażone na sytuacje stresowe, układowe objawy stresu (idiopatyczny FLUTD, schorzenia dermatologiczne i gastroenterologiczne).PrzeciwwskazaniaCiąża, laktacja, okres wzrostu, przewlekła niewydolność nerek, kwasica metaboliczna, niewydolność serca, nadciśnienie.Dobór diety weterynaryjnej powinien zawsze zostać skonsultowany z lekarzem weterynarii, który wcześniej zdiagnozował zwierzę i uwzględnił ewentualne przeciwwskazania w dietoterapii.",cat,dry
Royal Canin Expert Gastro Intestinal FIBRE Sucha Karma dla kota op. 2kg,145.00,31.0%,15.0%,7.3%,3.0%,,,,,,"Suszone białka drobiowe, ryż, kukurydza, gluten pszenny, tłuszcze zwierzęce, gluten kukurydziany, łuski i nasiona psyllium (6%), hydrolizowane białka zwierzęce, pulpa z cykorii, minerały, proszek jajeczny, olej sojowy, produkty drożdży, olej z ryb, mono- i dwuglicerydy kwasów palmitynowego i stearynowego estryfikowane kwasem cytrynowym, fruktooligosacharydy (0,47%), olej z alg Schizochytrium sp. (źródło kwasów DHA), drożdże (źródło mannooligosacharydów) (0,19%), mączka z aksamitki. Wysokostrawne składniki: 76,5% | Dodatki: Witamina A: 21500 j.m./kg, witamina D3: 800 j.m./kg, witamina E: 510 mg, witamina C: 210 mg, tauryna: 2,4 g, żelazo (3b103): 22 mg, jod (3b201, 3b202): 2,2 mg, miedź (3b405, 3b406): 7 mg, mangan (3b502, 3b504): 28 mg, cynk (3b603, 3b605, 3b606): 134 mg, selen (3b801, 3b811, 3b812): 0,03 mg.","Karma dla kotów mających problem z zaparciami.Problem z wypróżnianiem wynika najczęściej z niedostatecznej aktywności fizycznej, niewłaściwej pielęgnacji okrywy włosowej, dziedzicznej skłonności do zaparć, błędów dietetycznych lub innych kocich chorób. Zaparcie u kota może się także pojawić na skutek wieku. Równie często dotyka jednak koty długowłose i otyłe. Dieta Royal Canin Fibre Response to pełnoporcjowa karma przeznaczona dla kotów mających zaparcia lub zatwardzenia. Zawarte w karmie składniki korzystnie wpływają na pracę przewodu pokarmowego. Unikalna kombinacja włókna pokarmowego usprawnia pasaż jelitowy. Kwasy tłuszczowe omega 3 (EPA i DHA) wpływają na stan zdrowia przewodu pokarmowego a opatentowany kompleks współdziałających przeciwutleniaczy pomaga walczyć z wolnymi rodnikami.WskazaniaProblemy z zaparciami oraz problemy z wydalaniem kul włosowych.PrzeciwwskazaniaCiężkie zaparcia, okrężnica olbrzymia.Dobór diety weterynaryjnej powinien zawsze zostać skonsultowany z lekarzem weterynarii, który wcześniej zdiagnozował zwierzę i uwzględnił ewentualne przeciwwskazania w dietoterapii.",cat,dry
Royal Canin Expert Gastro Intestinal FIBRE Sucha Karma dla kota op. 400g,35.00,31.0%,0.71%,7.3%,3.0%,,,,,,"Suszone białka drobiowe, ryż, kukurydza, gluten pszenny, tłuszcze zwierzęce, gluten kukurydziany, łuski i nasiona psyllium 6%, hydrolizowane białka zwierzęce, pulpa z cykorii, minerały, proszek jajeczny, olej sojowy, produkty drożdży, olej z ryb, mono- i dwuglicerydy kwasów palmitynowego i stearynowego estryfikowane kwasem cytrynowym, fruktooligosacharydy 0,47%, olej z alg Schizochytrium sp. (źródło kwasów DHA), drożdże (źródło mannooligosacharydów) 0,19%, mączka z aksamitki. Wysokostrawne składniki: 76,5%","Karma dla kotów mających problem z zaparciami.Problem z wypróżnianiem wynika najczęściej z niedostatecznej aktywności fizycznej, niewłaściwej pielęgnacji okrywy włosowej, dziedzicznej skłonności do zaparć, błędów dietetycznych lub innych kocich chorób. Zaparcie u kota może się także pojawić na skutek wieku. Równie często dotyka jednak koty długowłose i otyłe. Dieta Royal Canin Fibre Response to pełnoporcjowa karma przeznaczona dla kotów mających zaparcia lub zatwardzenia. Zawarte w karmie składniki korzystnie wpływają na pracę przewodu pokarmowego. Unikalna kombinacja włókna pokarmowego usprawnia pasaż jelitowy. Kwasy tłuszczowe omega 3 (EPA i DHA) wpływają na stan zdrowia przewodu pokarmowego a opatentowany kompleks współdziałających przeciwutleniaczy pomaga walczyć z wolnymi rodnikami.WskazaniaProblemy z zaparciami oraz problemy z wydalaniem kul włosowych.PrzeciwwskazaniaCiężkie zaparcia, okrężnica olbrzymia.Dobór diety weterynaryjnej powinien zawsze zostać skonsultowany z lekarzem weterynarii, który wcześniej zdiagnozował zwierzę i uwzględnił ewentualne przeciwwskazania w dietoterapii.",cat,dry
Royal Canin Expert Gastro Intestinal FIBRE Sucha Karma dla kota op. 4kg,229.00,31.0%,15.0%,7.3%,3.0%,,,,,,"Suszone białka drobiowe, ryż, kukurydza, gluten pszenny, tłuszcze zwierzęce, gluten kukurydziany, łuski i nasiona psyllium (6%), hydrolizowane białka zwierzęce, pulpa z cykorii, minerały, proszek jajeczny, olej sojowy, produkty drożdży, olej z ryb, mono- i dwuglicerydy kwasów palmitynowego i stearynowego estryfikowane kwasem cytrynowym, fruktooligosacharydy (0,47%), olej z alg Schizochytrium sp. (źródło kwasów DHA), drożdże (źródło mannooligosacharydów) (0,19%), mączka z aksamitki. Wysokostrawne składniki: 76,5% | Dodatki: Witamina A: 21500 j.m./kg, witamina D3: 800 j.m./kg, witamina E: 510 mg, witamina C: 210 mg, tauryna: 2,4 g, żelazo (3b103): 22 mg, jod (3b201, 3b202): 2,2 mg, miedź (3b405, 3b406): 7 mg, mangan (3b502, 3b504): 28 mg, cynk (3b603, 3b605, 3b606): 134 mg, selen (3b801, 3b811, 3b812): 0,03 mg.","Karma dla kotów mających problem z zaparciami.Problem z wypróżnianiem wynika najczęściej z niedostatecznej aktywności fizycznej, niewłaściwej pielęgnacji okrywy włosowej, dziedzicznej skłonności do zaparć, błędów dietetycznych lub innych kocich chorób. Zaparcie u kota może się także pojawić na skutek wieku. Równie często dotyka jednak koty długowłose i otyłe. Dieta Royal Canin Fibre Response to pełnoporcjowa karma przeznaczona dla kotów mających zaparcia lub zatwardzenia. Zawarte w karmie składniki korzystnie wpływają na pracę przewodu pokarmowego. Unikalna kombinacja włókna pokarmowego usprawnia pasaż jelitowy. Kwasy tłuszczowe omega 3 (EPA i DHA) wpływają na stan zdrowia przewodu pokarmowego a opatentowany kompleks współdziałających przeciwutleniaczy pomaga walczyć z wolnymi rodnikami.WskazaniaProblemy z zaparciami oraz problemy z wydalaniem kul włosowych.PrzeciwwskazaniaCiężkie zaparcia, okrężnica olbrzymia.Dobór diety weterynaryjnej powinien zawsze zostać skonsultowany z lekarzem weterynarii, który wcześniej zdiagnozował zwierzę i uwzględnił ewentualne przeciwwskazania w dietoterapii.",cat,dry
Royal Canin Expert Neutered Satiety Balance Sucha Karma dla kota op. 1.5kg,89.00,35.0%,10.0%,9.1%,9.7%,,,1.13%,,,"Suszone białko drobiowe, kukurydza, włókno roślinne, gluten pszenny, pszenica, gluten kukurydziany, hydrolizowany białka zwierzęce, minerały, tłuszcze zwierzęce, pulpa z cykorii, olej rybny, łuski i nasiona psyllium, mączka z aksamitki (źródło luteiny)","Karma dla kotów po zabiegu kastracji lub sterylizacji do 7 roku życia.Kastracja lub sterylizacja to nic innego jak zabieg pozbawiający zwierzaka płodności. Dzięki temu, zapobiega się powiększaniu bezdomności zwierząt (nawet tych, które mieszkają w domu). Dodatkowo, wykonanie takiego zabiegu może ograniczyć ryzyko występowania chorób związanych z układem rozrodczym , czy jak w przypadku kotów, wyeliminować przykre zachowania związane z rozmnażaniem jak ruje czy znaczenie terenu. Dieta Royal Canin Neutered Satiety Balance to pełnoporcjowa karma dla kotów. Podawanie tej karmy jest zalecane po zabiegu sterylizacji lub kastracji, by zapobiec przybieraniu na wadze.Zawarty w składzie unikalny kompleks włókna zapewnia uczucie sytości a obniżony poziom energii pomaga utrzymać optymalną masę ciała.Ze względu na zawarte właściwości, karmę najlepiej jest podawać zwierzakowi od momentu zabiegu do ukończenia 7. roku życia.Dieta zawiera wysoką smakowitość, dzięki czemu jest chętnie jedzona nawet przez najbardziej wybredne mruczki.Dobór diety weterynaryjnej powinien zawsze zostać skonsultowany z lekarzem weterynarii, który wcześniej zdiagnozował zwierzę i uwzględnił ewentualne przeciwwskazania w dietoterapii.",cat,dry
Royal Canin Expert Neutered Satiety Balance Sucha Karma dla kota op. 3.5kg,165.00,35.0%,10.0%,9.3%,9.2%,,,,,,"Suszone białko drobiowe, kukurydza, włókno roślinne, pszenica, gluten kukurydziany, gluten pszenny, hydrolizat białka zwierzęcego, tłuszcze zwierzęce, sole mineralne, pulpa z cykorii, łupiny i nasiona psyllium, olej rybny, wyciąg z aksamitki wzniesionej (źródło luteiny) | Dodatki: Witamina A: 25100 UI, Witamina D3: 1000 UI, E1 (Żelazo): 38 mg, E2 (Jod): 3,8 mg, E4 (Miedź): 5 mg, E5 (Mangan): 49 mg, E6 (Cynk): 148 mg, E8 (Selen): 0,08 mg - Konserwanty - Przeciwutleniacze","Karma dla kotów po zabiegu kastracji lub sterylizacji do 7 roku życia.Kastracja lub sterylizacja to nic innego jak zabieg pozbawiający zwierzaka płodności. Dzięki temu, zapobiega się powiększaniu bezdomności zwierząt (nawet tych, które mieszkają w domu). Dodatkowo, wykonanie takiego zabiegu może ograniczyć ryzyko występowania chorób związanych z układem rozrodczym , czy jak w przypadku kotów, wyeliminować przykre zachowania związane z rozmnażaniem jak ruje czy znaczenie terenu. Dieta Royal Canin Neutered Satiety Balance to pełnoporcjowa karma dla kotów. Podawanie tej karmy jest zalecane po zabiegu sterylizacji lub kastracji, by zapobiec przybieraniu na wadze.Zawarty w składzie unikalny kompleks włókna zapewnia uczucie sytości a obniżony poziom energii pomaga utrzymać optymalną masę ciała.Ze względu na zawarte właściwości, karmę najlepiej jest podawać zwierzakowi od momentu zabiegu do ukończenia 7. roku życia.Dieta zawiera wysoką smakowitość, dzięki czemu jest chętnie jedzona nawet przez najbardziej wybredne mruczki.Dobór diety weterynaryjnej powinien zawsze zostać skonsultowany z lekarzem weterynarii, który wcześniej zdiagnozował zwierzę i uwzględnił ewentualne przeciwwskazania w dietoterapii.",cat,dry
Royal Canin Fussy Exigent Sensation Sucha Karma dla kota op. 10kg,317.00,40.0%,17.5%,7.0%,1.0%,,,,,,"Białko drobiowe (suszone), mączka kukurydziana, tłuszcz zwierzęcy, mąka pszenna, gluten pszenny*, ryż, hydrolizat białka zwierzęcego, pulpa buraczana, gluten kukurydziany, produkty drożdżowe, minerały, fruktooligosacharydy, olej z alg (Schizochytrium sp.), mączka z nagietka.","Karma przeznaczona dla dorosłych kotów, o szczególnie wybrednym podniebieniu. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Exigent Savour Sensation to karma sucha oparta na białku drobiowym, przeznaczona dla dorosłych kotów z wybrednym podniebieniem. Specjalnie opracowana receptura, dzięki umiarkowanej zawartości energii, pomaga utrzymać prawidłową masę ciała. Kwasy tłuszczowe EPA-DHA oraz kwasy tłuszczowe omega6, które są zawarte w karmie, wzmacniają nieprzepuszczalność bariery skórnej oraz poprawiają wybarwienie, połysk i jakość włosa. Co więcej, karma sprzyja prawidłowemu funkcjonowaniu układu moczowego (ph 6-6,5) u kotów dorosłych. Dzięki współdziałaniu dwóch typów krokietów, różniących się składem i teksturą, formuła zaspokoi wymagania nawet najbardziej wybrednych kotów.",cat,dry
Royal Canin Fussy Exigent Sensation Sucha Karma dla kota op. 2kg,109.00,40.0%,17.5%,7.0%,1.0%,,,,,,"Białko drobiowe (suszone), mączka kukurydziana, tłuszcz zwierzęcy, mąka pszenna, gluten pszenny*, ryż, hydrolizat białka zwierzęcego, pulpa buraczana, gluten kukurydziany, produkty drożdżowe, minerały, fruktooligosacharydy, olej z alg (Schizochytrium sp.), mączka z nagietka.","Karma przeznaczona dla dorosłych kotów, o szczególnie wybrednym podniebieniu. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Exigent Savour Sensation to karma sucha oparta na białku drobiowym, przeznaczona dla dorosłych kotów z wybrednym podniebieniem. Specjalnie opracowana receptura, dzięki umiarkowanej zawartości energii, pomaga utrzymać prawidłową masę ciała. Kwasy tłuszczowe EPA-DHA oraz kwasy tłuszczowe omega6, które są zawarte w karmie, wzmacniają nieprzepuszczalność bariery skórnej oraz poprawiają wybarwienie, połysk i jakość włosa. Co więcej, karma sprzyja prawidłowemu funkcjonowaniu układu moczowego (ph 6-6,5) u kotów dorosłych. Dzięki współdziałaniu dwóch typów krokietów, różniących się składem i teksturą, formuła zaspokoi wymagania nawet najbardziej wybrednych kotów.",cat,dry
Royal Canin Fussy Exigent Sensation Sucha Karma dla kota op. 400g,26.00,40.0%,17.5%,7.0%,1.0%,,,,,,"Białko drobiowe (suszone), mączka kukurydziana, tłuszcz zwierzęcy, mąka pszenna, gluten pszenny*, ryż, hydrolizat białka zwierzęcego, pulpa buraczana, gluten kukurydziany, produkty drożdżowe, minerały, fruktooligosacharydy, olej z alg (Schizochytrium sp.), mączka z nagietka.","Karma przeznaczona dla dorosłych kotów, o szczególnie wybrednym podniebieniu. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Exigent Savour Sensation to karma sucha oparta na białku drobiowym, przeznaczona dla dorosłych kotów z wybrednym podniebieniem. Specjalnie opracowana receptura, dzięki umiarkowanej zawartości energii, pomaga utrzymać prawidłową masę ciała. Kwasy tłuszczowe EPA-DHA oraz kwasy tłuszczowe omega6, które są zawarte w karmie, wzmacniają nieprzepuszczalność bariery skórnej oraz poprawiają wybarwienie, połysk i jakość włosa. Co więcej, karma sprzyja prawidłowemu funkcjonowaniu układu moczowego (ph 6-6,5) u kotów dorosłych. Dzięki współdziałaniu dwóch typów krokietów, różniących się składem i teksturą, formuła zaspokoi wymagania nawet najbardziej wybrednych kotów.",cat,dry
Royal Canin Fussy Exigent Sensation Sucha Karma dla kota op. 4kg,169.00,40.0%,17.5%,7.0%,1.0%,,,,,,"Białko drobiowe (suszone), mączka kukurydziana, tłuszcz zwierzęcy, mąka pszenna, gluten pszenny*, ryż, hydrolizat białka zwierzęcego, pulpa buraczana, gluten kukurydziany, produkty drożdżowe, minerały, fruktooligosacharydy, olej z alg (Schizochytrium sp.), mączka z nagietka.","Karma przeznaczona dla dorosłych kotów, o szczególnie wybrednym podniebieniu. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Exigent Savour Sensation to karma sucha oparta na białku drobiowym, przeznaczona dla dorosłych kotów z wybrednym podniebieniem. Specjalnie opracowana receptura, dzięki umiarkowanej zawartości energii, pomaga utrzymać prawidłową masę ciała. Kwasy tłuszczowe EPA-DHA oraz kwasy tłuszczowe omega6, które są zawarte w karmie, wzmacniają nieprzepuszczalność bariery skórnej oraz poprawiają wybarwienie, połysk i jakość włosa. Co więcej, karma sprzyja prawidłowemu funkcjonowaniu układu moczowego (ph 6-6,5) u kotów dorosłych. Dzięki współdziałaniu dwóch typów krokietów, różniących się składem i teksturą, formuła zaspokoi wymagania nawet najbardziej wybrednych kotów.",cat,dry
Royal Canin Hair&Skin Care Sucha Karma dla kota op. 400g,29.00,33.0%,22.0%,6.9%,4.9%,,,,,,"Suszone białko drobiowe, tłuszcz zwierzęcy, gluten pszenny*, ryż, włókno roślinne, kukurydza, hydrolizat białka zwierzęcego, pszenica, produkty drożdżowe. *L.I.P.: Białka wybrane ze względu na ich bardzo wysoką strawność.","Karma opracowana specjalnie dla kotów dorosłych, sprzyjająca lśniącej sierści i zdrowej skórze. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Komórki skóry podlegają stałej odnowie, stąd ich wysokie zapotrzebowanie na składniki pokarmowe. Niektóre koty mają wrażliwą skórę, co objawia się złym stanem sierści. Odpowiedni bilans składników pokarmowych, może wspierać prawidłowe funkcjonowanie skóry. Royal Canin Hair&Skin Care to karma sucha oparta na białku drobiowym, przeznaczona dla kotów dorosłych, wspomagająca lśniącą sierść i zdrową skórę. Unikalny kompleks składników odżywczych, sprzyja wzmocnieniu bariery skórnej. Wysokiej jakości białka, w tym specyficzne aminokwasy, wspomagają wzrost włosa i odnowę skóry. Kwasy tłuszczowe Omega 3 i Omega 6, mają korzystny wpływ na zdrowie skóry i stan sierści. Odpowiedni bilans składników mineralnych wspomaga ochronę układu moczowego kota.",cat,dry
Royal Canin Hair&Skin Care Sucha Karma dla kota op. 4kg,199.00,33.0%,22.0%,6.9%,5.0%,,,,,,"Suszone białko drobiowe, tłuszcze zwierzęce, izolat białka roślinnego, ryż, włókno roślinne, kukurydza, hydrolizat białka zwierzęcego, pszenica, drożdże, mąka kukurydziana, gluten kukurydziany, pulpa buraczana, olej sojowy, olej rybny","Karma opracowana specjalnie dla kotów dorosłych, sprzyjająca lśniącej sierści i zdrowej skórze. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Komórki skóry podlegają stałej odnowie, stąd ich wysokie zapotrzebowanie na składniki pokarmowe. Niektóre koty mają wrażliwą skórę, co objawia się złym stanem sierści. Odpowiedni bilans składników pokarmowych, może wspierać prawidłowe funkcjonowanie skóry. Royal Canin Hair&Skin Care to karma sucha oparta na białku drobiowym, przeznaczona dla kotów dorosłych, wspomagająca lśniącą sierść i zdrową skórę. Unikalny kompleks składników odżywczych, sprzyja wzmocnieniu bariery skórnej. Wysokiej jakości białka, w tym specyficzne aminokwasy, wspomagają wzrost włosa i odnowę skóry. Kwasy tłuszczowe Omega 3 i Omega 6, mają korzystny wpływ na zdrowie skóry i stan sierści. Odpowiedni bilans składników mineralnych wspomaga ochronę układu moczowego kota.",cat,dry
Royal Canin Hairball Care Sucha Karma dla kota op. 2kg,123.00,34.0%,15.0%,6.9%,6.9%,,,,,,"Suszone białko drobiowe, izolat białka roślinnego, kukurydza, włókno roślinne, ryż, tłuszcze zwierzęce, hydrolizat białka zwierzęcego, pszenica, mąka kukurydziana, gluten kukurydziany, pulpa buraczana, drożdże","Karma sucha pomagająca eliminować tworzenie się kul włosowych. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Hairball Care to karma sucha oparta na białku drobiowym, przeznaczona dla kotów dorosłych, pomagająca eliminować tworzenie się kul włosowych. Kombinacja psyllium, o właściwościach śluzotwórczych oraz mikronizowanego włókna, wspomaga poprawę pasażu jelitowego. Połknięte włosy są regularnie usuwane z przewodu pokarmowego wraz z kałem, dzięki czemu nie dochodzi do ich kumulacji. Przeciwdziała to powstawaniu kul włosowych i wymiotom. Kontrola pH moczu ogranicza powstawanie kamieni moczowych.",cat,dry
Royal Canin Hairball Care Sucha Karma dla kota op. 400g,29.00,34.0%,15.0%,6.9%,6.9%,,,,,,"Suszone białko drobiowe, izolat białka roślinnego, kukurydza, włókno roślinne, ryż, tłuszcze zwierzęce, hydrolizat białka zwierzęcego, pszenica, mąka kukurydziana, gluten kukurydziany, pulpa buraczana, drożdże","Karma sucha pomagająca eliminować tworzenie się kul włosowych. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Hairball Care to karma sucha oparta na białku drobiowym, przeznaczona dla kotów dorosłych, pomagająca eliminować tworzenie się kul włosowych. Kombinacja psyllium, o właściwościach śluzotwórczych oraz mikronizowanego włókna, wspomaga poprawę pasażu jelitowego. Połknięte włosy są regularnie usuwane z przewodu pokarmowego wraz z kałem, dzięki czemu nie dochodzi do ich kumulacji. Przeciwdziała to powstawaniu kul włosowych i wymiotom. Kontrola pH moczu ogranicza powstawanie kamieni moczowych.",cat,dry
